"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14191","Test order placement with valid data","","Wed Sep 24 06:43:58 GMT 2025","failed","Wed Sep 24 06:44:12 GMT 2025","","OrderPlacementTest","OrderPlacementTest","testOrderPlacementWithValidData"
"","6449","Verify Nokia Lumia product details","","Wed Sep 24 11:27:13 GMT 2025","passed","Wed Sep 24 11:27:19 GMT 2025","","tests.HomePageTest","tests.HomePageTest","testNokiaLumiaProductDetails"
"","11630","Test order placement with invalid data","","Wed Sep 24 11:28:09 GMT 2025","passed","Wed Sep 24 11:28:21 GMT 2025","","tests.OrderPlacementTest","tests.OrderPlacementTest","testOrderPlacementWithInvalidData"
"","6493","Test sending invalid contact data","","Wed Sep 24 06:59:47 GMT 2025","passed","Wed Sep 24 06:59:53 GMT 2025","","ContactModalTest","ContactModalTest","testSendInvalidContactData"
"","3876","Verify home page basic elements are visible","","Wed Sep 24 11:27:19 GMT 2025","passed","Wed Sep 24 11:27:23 GMT 2025","","tests.HomePageTest","tests.HomePageTest","testHomePageBasicElements"
"","5766","Test sending valid contact data","","Wed Sep 24 11:27:35 GMT 2025","passed","Wed Sep 24 11:27:41 GMT 2025","","tests.ContactModalTest","tests.ContactModalTest","testSendValidContactData"
"","5169","Test contact modal close functionality","","Wed Sep 24 11:27:41 GMT 2025","passed","Wed Sep 24 11:27:46 GMT 2025","","tests.ContactModalTest","tests.ContactModalTest","testContactModalClose"
"","13666","Test order placement with valid data","","Wed Sep 24 11:27:46 GMT 2025","passed","Wed Sep 24 11:28:00 GMT 2025","","tests.OrderPlacementTest","tests.OrderPlacementTest","testOrderPlacementWithValidData"
"","5121","Verify all products and footer elements on home page","","Wed Sep 24 07:20:48 GMT 2025","passed","Wed Sep 24 07:20:53 GMT 2025","","HomePageTest","HomePageTest","testAllProductsAndFooterElements"
"","4371","Verify navigation bar elements are visible","","Wed Sep 24 11:26:46 GMT 2025","passed","Wed Sep 24 11:26:50 GMT 2025","","tests.HomePageTest","tests.HomePageTest","testNavigationBarElements"
"","2843","Test sending valid contact data","","Wed Sep 24 06:59:55 GMT 2025","passed","Wed Sep 24 06:59:58 GMT 2025","","ContactModalTest","ContactModalTest","testSendValidContactData"
"","7138","Verify Nexus product details","","Wed Sep 24 11:26:54 GMT 2025","passed","Wed Sep 24 11:27:01 GMT 2025","","tests.HomePageTest","tests.HomePageTest","testNexusProductDetails"
"","3937","Verify categories section is visible","","Wed Sep 24 11:26:50 GMT 2025","passed","Wed Sep 24 11:26:54 GMT 2025","","tests.HomePageTest","tests.HomePageTest","testCategoriesSection"
"","8622","Test order placement form close","","Wed Sep 24 06:44:12 GMT 2025","failed","Wed Sep 24 06:44:21 GMT 2025","","OrderPlacementTest","OrderPlacementTest","testOrderPlacementFormClose"
"","6436","Verify Samsung Galaxy S6 product details","","Wed Sep 24 11:27:01 GMT 2025","passed","Wed Sep 24 11:27:08 GMT 2025","","tests.HomePageTest","tests.HomePageTest","testSamsungGalaxyS6ProductDetails"
"","7178","Test sending invalid contact data","","Wed Sep 24 11:27:23 GMT 2025","passed","Wed Sep 24 11:27:30 GMT 2025","","tests.ContactModalTest","tests.ContactModalTest","testSendInvalidContactData"
"","1767","Test sending empty contact data","","Wed Sep 24 06:59:53 GMT 2025","passed","Wed Sep 24 06:59:55 GMT 2025","","ContactModalTest","ContactModalTest","testSendEmptyContactData"
"","19024","Add multiple products to cart and verify cart functionality","","Wed Sep 24 11:26:09 GMT 2025","passed","Wed Sep 24 11:26:28 GMT 2025","","tests.CartPageTest","tests.CartPageTest","testAddMultipleProductsToCart"
"","8855","Verify Nexus product details","","Wed Sep 24 08:15:34 GMT 2025","failed","Wed Sep 24 08:15:43 GMT 2025","","HomePageTest","HomePageTest","testNexusProductDetails"
"","7790","Test order placement with invalid data","","Wed Sep 24 06:44:21 GMT 2025","failed","Wed Sep 24 06:44:29 GMT 2025","","OrderPlacementTest","OrderPlacementTest","testOrderPlacementWithInvalidData"
"","9285","Test order placement form close","","Wed Sep 24 11:28:00 GMT 2025","passed","Wed Sep 24 11:28:09 GMT 2025","","tests.OrderPlacementTest","tests.OrderPlacementTest","testOrderPlacementFormClose"
"","17944","Test cart item deletion functionality","","Wed Sep 24 11:26:28 GMT 2025","passed","Wed Sep 24 11:26:46 GMT 2025","","tests.CartPageTest","tests.CartPageTest","testCartItemDeletion"
"","4734","Verify all products and footer elements on home page","","Wed Sep 24 11:27:08 GMT 2025","passed","Wed Sep 24 11:27:13 GMT 2025","","tests.HomePageTest","tests.HomePageTest","testAllProductsAndFooterElements"
"","5335","Test sending empty contact data","","Wed Sep 24 11:27:30 GMT 2025","passed","Wed Sep 24 11:27:35 GMT 2025","","tests.ContactModalTest","tests.ContactModalTest","testSendEmptyContactData"
"","1613","Test contact modal close functionality","","Wed Sep 24 06:59:58 GMT 2025","passed","Wed Sep 24 06:59:59 GMT 2025","","ContactModalTest","ContactModalTest","testContactModalClose"
