"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","DemoBlaze Order Placement","1","0","Attempt to place order with empty cart","0"
"0","","1","DemoBlaze Order Placement","0","0","Place order with multiple products","0"
"0","","31","","128","0","","0"
"0","","3","DemoBlaze Order Placement","2","0","Validate order form with different data combinations","0"
"0","","0","Simple DemoBlaze Test","1","0","Verify home page loads","0"
"0","","1","DemoBlaze Home Page","6","0","Verify product listings on home page","0"
"0","","0","DemoBlaze Contact Modal","4","0","Validate contact form fields","0"
"0","","0","DemoBlaze Order Placement","1","0","Validate order form fields","0"
"0","","0","DemoBlaze Contact Modal","1","0","Send valid contact message","0"
"0","","0","DemoBlaze Order Placement","1","0","Verify order form data persistence during session","0"
"0","","0","DemoBlaze Contact Modal","1","0","Reset contact form","0"
"0","","0","DemoBlaze Home Page","1","0","Verify product categories section","0"
"0","","0","DemoBlaze Home Page","1","0","Verify navigation bar elements are visible","0"
"0","","0","DemoBlaze Order Placement","1","0","Cancel order placement","0"
"0","","0","DemoBlaze Contact Modal","1","0","Open and close contact modal","0"
"0","","0","DemoBlaze Home Page","1","0","Verify carousel functionality","0"
"0","","1","DemoBlaze Shopping Cart","0","0","Verify cart maintains items across navigation","0"
"0","","0","DemoBlaze Home Page","6","0","Verify individual product details","0"
"0","","0","DemoBlaze Shopping Cart","1","0","Add product to cart successfully","0"
"0","","1","DemoBlaze Order Placement","0","0","Place order successfully with valid details","0"
"0","","0","DemoBlaze Home Page","2","0","Verify footer elements","0"
"0","","0","DemoBlaze Shopping Cart","1","0","Verify empty cart behavior","0"
"0","","0","DemoBlaze Shopping Cart","1","0","Remove product from cart","0"
"0","","0","DemoBlaze Contact Modal","1","0","Contact form data persistence during session","0"
"0","","1","DemoBlaze Shopping Cart","0","0","Manage multiple products in cart","0"
