"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 25 02:50:19 GMT 2025","Thu Sep 25 02:50:31 GMT 2025","11758","","","","","","Validate order form with different data combinations #2",""
"passed","Thu Sep 25 02:44:40 GMT 2025","Thu Sep 25 02:44:52 GMT 2025","11641","","tests.HomePageTest","","tests.HomePageTest","testNexusProductDetails","Verify Nexus product details",""
"passed","Thu Sep 25 02:46:44 GMT 2025","Thu Sep 25 02:46:56 GMT 2025","11744","","DemoBlaze Shopping Cart","","Remove product from cart","","Remove product from cart","  As a customer on DemoBlaze e-commerce website
  I want to manage items in my shopping cart
  So that I can review and purchase selected products"
"passed","Thu Sep 25 02:48:36 GMT 2025","Thu Sep 25 02:48:45 GMT 2025","8843","","DemoBlaze Home Page","","Verify product categories section","","Verify product categories section","  As a user visiting DemoBlaze e-commerce website
  I want to navigate and interact with the home page
  So that I can browse products and access different sections"
"passed","Thu Sep 25 02:47:59 GMT 2025","Thu Sep 25 02:48:08 GMT 2025","9006","","DemoBlaze Contact Modal","","Validate contact form fields","","Validate contact form fields","  As a user of DemoBlaze website
  I want to contact the support team
  So that I can get help or send inquiries"
"passed","Thu Sep 25 02:47:38 GMT 2025","Thu Sep 25 02:47:44 GMT 2025","6146","","DemoBlaze Contact Modal","","Validate contact form fields","","Validate contact form fields","  As a user of DemoBlaze website
  I want to contact the support team
  So that I can get help or send inquiries"
"passed","Thu Sep 25 02:48:45 GMT 2025","Thu Sep 25 02:48:51 GMT 2025","6452","","DemoBlaze Home Page","","Verify product listings on home page","","Verify product listings on home page","  As a user visiting DemoBlaze e-commerce website
  I want to navigate and interact with the home page
  So that I can browse products and access different sections"
"passed","Thu Sep 25 02:49:54 GMT 2025","Thu Sep 25 02:50:05 GMT 2025","11362","","","","","","Validate order form fields",""
"passed","Thu Sep 25 02:47:44 GMT 2025","Thu Sep 25 02:47:51 GMT 2025","7082","","","","","","Validate contact form fields #2",""
"passed","Thu Sep 25 02:45:19 GMT 2025","Thu Sep 25 02:45:28 GMT 2025","9384","","tests.HomePageTest","","tests.HomePageTest","testHomePageBasicElements","Verify home page basic elements are visible",""
"passed","Thu Sep 25 02:43:58 GMT 2025","Thu Sep 25 02:44:06 GMT 2025","8147","","tests.ContactModalTest","","tests.ContactModalTest","testSendEmptyContactData","Test sending empty contact data",""
"passed","Thu Sep 25 02:49:01 GMT 2025","Thu Sep 25 02:49:14 GMT 2025","13207","","DemoBlaze Home Page","","Verify individual product details","","Verify individual product details","  As a user visiting DemoBlaze e-commerce website
  I want to navigate and interact with the home page
  So that I can browse products and access different sections"
